Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
20,'2025-01-29 23:41:04,'2025-01-29 23:42:24,3.78,65,9.647144556045532,1604.7579953670502,1.1,10,40,0,3
1,'2025-01-29 23:42:24,'2025-01-29 23:43:44,3.8,65,9.732506036758423,80.24344491958618,1.11,10,20,0,3
2,'2025-01-29 23:43:44,'2025-01-29 23:45:04,3.8,65,9.702561855316162,160.53564858436584,1.1,10,20,0,3
3,'2025-01-29 23:45:04,'2025-01-29 23:46:25,3.81,65,9.739526987075806,240.824280500412,1.11,10,20,0,3
4,'2025-01-29 23:46:25,'2025-01-29 23:47:45,3.83,65,9.610785245895386,320.98869013786316,1.11,10,20,0,3
5,'2025-01-29 23:47:45,'2025-01-29 23:49:05,3.9,65,9.709133386611938,401.2977123260498,1.1,10,20,0,3
6,'2025-01-29 23:49:05,'2025-01-29 23:50:25,3.79,65,9.696119785308838,481.51355719566345,1.1,10,20,0,3
7,'2025-01-29 23:50:25,'2025-01-29 23:51:46,3.79,65,9.772375106811523,561.7790842056274,1.1,10,20,0,3
8,'2025-01-29 23:51:46,'2025-01-29 23:53:06,3.8,65,9.736527681350708,642.0369961261749,1.1,10,20,0,3
9,'2025-01-29 23:53:06,'2025-01-29 23:54:26,3.78,65,9.722872495651245,722.2327873706818,1.1,10,20,0,3
10,'2025-01-29 23:54:26,'2025-01-29 23:55:46,3.8,65,9.622776746749878,802.3295605182648,1.1,10,20,0,3
11,'2025-01-29 23:55:46,'2025-01-29 23:57:06,3.82,65,9.669721364974976,882.5305597782135,1.1,10,20,0,3
12,'2025-01-29 23:57:06,'2025-01-29 23:58:27,3.78,65,9.711730003356934,962.7491405010223,1.1,10,20,0,3
