Step,Queue Length,Counters,Thresholds
106,Queue Length: 8,Counters: [33 33 33 33 33 33 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
107,Queue Length: 7,Counters: [34 34 34 34 34 34 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
108,Queue Length: 8,Counters: [35 35 35 35 35 35 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
109,Queue Length: 8,Counters: [36 36 36 36 36 36 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
110,Queue Length: 8,Counters: [37 37 37 37 37 37 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
111,Queue Length: 8,Counters: [38 38 38 38 38 38 4 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
112,Queue Length: 8,Counters: [39 39 39 39 39 39 5 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
113,Queue Length: 7,Counters: [40 40 40 40 40 40 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
114,Queue Length: 8,Counters: [41 41 41 41 41 41 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
115,Queue Length: 8,Counters: [42 42 42 42 42 42 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
116,Queue Length: 8,Counters: [43 43 43 43 43 43 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
117,Queue Length: 7,Counters: [44 44 44 44 44 44 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
118,Queue Length: 7,Counters: [45 45 45 45 45 45 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
119,Queue Length: 7,Counters: [46 46 46 46 46 46 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
120,Queue Length: 7,Counters: [47 47 47 47 47 47 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
121,Queue Length: 8,Counters: [48 48 48 48 48 48 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
122,Queue Length: 8,Counters: [49 49 49 49 49 49 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
123,Queue Length: 7,Counters: [50 50 50 50 50 50 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
124,Queue Length: 8,Counters: [51 51 51 51 51 51 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
125,Queue Length: 7,Counters: [52 52 52 52 52 52 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
126,Queue Length: 7,Counters: [53 53 53 53 53 53 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
127,Queue Length: 8,Counters: [54 54 54 54 54 54 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
128,Queue Length: 7,Counters: [55 55 55 55 55 55 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
129,Queue Length: 8,Counters: [56 56 56 56 56 56 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
