Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
92,jitter_values_20250226_180347.csv,2,0,E-Policy,3,600,2,2.004268292682927,0.13520368998904642,16.683547896341462,1.724083003886288,0,,0.0,0.0,0.0
93,jitter_values_20250226_180510.csv,2,0,E-Policy,3,600,2,1.420731707317073,0.7262326900297434,16.693381585365856,1.9175778035397069,0,,0.0,0.0,0.0
94,jitter_values_20250226_180634.csv,2,0,E-Policy,3,600,2,2.700823421774931,0.7145117791887788,16.689256267154622,1.721428065424805,0,,0.0,0.0,0.0
95,jitter_values_20250226_180758.csv,2,0,E-Policy,3,600,2,2.8483831604636975,0.3753328014649068,16.68550918242831,1.5808355254121567,0,,0.0,0.0,0.0
96,jitter_values_20250226_180922.csv,2,0,E-Policy,3,600,2,1.9960353766392194,0.08367048718612768,16.680328758767917,1.5501625313945275,0,,0.0,0.0,0.0
97,jitter_values_20250226_181045.csv,2,0,E-Policy,3,600,2,1.0814024390243901,0.2801045140958302,16.681117652439024,1.8662757576556777,0,,0.0,0.0,0.0
98,jitter_values_20250226_181209.csv,2,0,E-Policy,3,600,2,1.9219987812309567,0.2693483211999458,16.68029597806216,1.6458819225777543,0,,0.0,0.0,0.0
99,jitter_values_20250226_181333.csv,2,0,E-Policy,3,600,2,1.7746951219512195,0.4193038331809831,16.68206551829268,1.7354364658878494,1,35.8716,0.042512607231757815,0.0,0.016748680883625994
100,jitter_values_20250226_181456.csv,2,0,E-Policy,3,600,2,1.9942055504727052,0.07591199719126097,16.680200243976824,1.5223163533438995,0,,0.0,0.0,0.0
101,jitter_values_20250226_181620.csv,2,0,E-Policy,3,600,2,1.9548780487804878,0.20760322903891454,16.679117896341463,1.4792605675255501,0,,0.0,0.0,0.0
102,jitter_values_20250226_181744.csv,2,0,E-Policy,3,600,2,1.9652650822669104,0.1831355295451495,16.681858988421695,1.603052565609511,0,,0.0,0.0,0.0
103,jitter_values_20250226_181907.csv,2,0,E-Policy,3,600,2,1.8664226898444647,0.37112576216951676,16.685751174138456,1.7764215113884274,1,34.9485,0.02705215670762338,0.0,0.016748839876287232
104,jitter_values_20250226_182031.csv,2,0,E-Policy,3,600,2,4.528549618320611,1.1508251283667459,16.705208396946563,1.7389036285056223,0,,0.0,0.0,0.0
105,jitter_values_20250226_182155.csv,2,0,E-Policy,3,600,2,2.6614821591948763,0.6642269465002767,16.68410475754803,1.9744908661264176,1,35.8384,0.04194840480634522,0.0,0.016745428985242398
106,jitter_values_20250226_182319.csv,2,60,E-Policy,3,600,2,6.767257177764203,1.3476904200191993,16.711146120952964,2.487418120858058,1,118.5514,1.4294533728889316,0.0,0.01677406493699272
107,jitter_values_20250226_182443.csv,2,60,E-Policy,3,600,2,6.75030525030525,1.2721022685314889,16.711724694749698,2.467329637282868,1,120.1153,1.4548546577473491,0.0,0.016764481433243272
108,jitter_values_20250226_182607.csv,2,60,E-Policy,3,600,2,7.40470372632865,1.8283144559000466,16.715289798411728,2.549880512397315,1,119.6831,1.4483097164617753,0.0,0.016772595729579343
109,jitter_values_20250226_182732.csv,2,60,E-Policy,3,600,2,7.447601588756492,1.6672510492630883,16.70907809349221,2.3084414891970386,1,118.3834,1.4269724960395276,0.0,0.016778029261488494
110,jitter_values_20250226_182856.csv,2,60,E-Policy,3,600,2,7.562786434463795,1.731463775404265,16.714251542926977,2.538039462733637,1,115.3399,1.3733897222310163,0.0,0.016747314138614418
111,jitter_values_20250226_183020.csv,2,60,E-Policy,3,600,2,8.328339957199633,1.7657428967321718,16.728921430755122,2.419998960098325,1,114.4258,1.3609109019135786,0.0,0.016782211332845378
112,jitter_values_20250226_183144.csv,2,60,E-Policy,3,600,2,8.12286063569682,1.8182984127580777,16.725259902200488,2.4480293920225735,1,115.0832,1.3713483683632377,0.0,0.016774931085064258
113,jitter_values_20250226_183308.csv,2,60,E-Policy,3,600,2,7.201038802322029,1.958440174760247,16.7100399938894,2.660986562390831,1,116.9866,1.4038273173594102,0.0,0.016781500406205425
114,jitter_values_20250226_183433.csv,2,60,E-Policy,3,600,2,6.064653857883501,2.0794392358835005,16.677427447392496,3.5296013460573152,11,"33.8679, 147.165, 36.1061, 39.7988, 33.4169, 50.6631, 52.4423, 35.7039, 74.0313, 37.1326, 33.8911",3.4799330753527093,32.23974877894143,0.18443187106888798
115,jitter_values_20250226_183557.csv,2,60,E-Policy,3,600,2,7.1988393402565665,1.3827044340487122,16.708334789248628,2.3023562433650233,1,100.7894,1.1313622130539596,0.0,0.016771838029421397
